Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT
2019-08-21 11-PM,BTCUSDT,10072.45,10095,10060.32,10060.32,80.96,816358.56
2019-08-21 10-PM,BTCUSDT,10052.48,10105.2,10040,10072.45,689.33,6943602.66
2019-08-21 09-PM,BTCUSDT,10151.2,10185.99,10050.1,10052.48,911.77,9218114.24
2019-08-21 08-PM,BTCUSDT,10106.28,10198.85,10102.9,10151.2,1589.77,16155587.42
2019-08-21 07-PM,BTCUSDT,10085.29,10129.59,10052.42,10106.28,869.49,8769715.56
2019-08-21 06-PM,BTCUSDT,10111.34,10144.36,10080,10085.29,677.15,6842168.36
2019-08-21 05-PM,BTCUSDT,10132.91,10158,10081.75,10111.34,756.98,7657422.19
2019-08-21 04-PM,BTCUSDT,9986.77,10150,9858,10132.91,3234.94,32438209.88
2019-08-21 03-PM,BTCUSDT,10014.03,10085,9958,9986.77,1580.83,15848906.61
2019-08-21 02-PM,BTCUSDT,9962.28,10070.85,9958.81,10014.03,2553.57,25582970.13
2019-08-21 01-PM,BTCUSDT,9981.38,10000,9934.28,9962.28,2119.85,21136430.73
2019-08-21 12-PM,BTCUSDT,10179.01,10183.79,9921.16,9981.38,3884.17,38927661.07
2019-08-21 11-AM,BTCUSDT,10157.94,10187.8,10105.84,10179.01,1172.66,11906475.06
2019-08-21 10-AM,BTCUSDT,10216,10216,10081,10157.94,2057.77,20872227.41
2019-08-21 09-AM,BTCUSDT,10180.28,10254.97,10141.56,10216,1363.14,13909297.59
2019-08-21 08-AM,BTCUSDT,10138.99,10205,10136.23,10180.28,874.83,8900758.83
2019-08-21 07-AM,BTCUSDT,10181.38,10227.06,10111,10138.99,1077.62,10975186.42
2019-08-21 06-AM,BTCUSDT,10250.8,10288,10115,10181.38,1890.06,19252655.68
2019-08-21 05-AM,BTCUSDT,10210.51,10296.72,10172,10250.8,1361.16,13945220.36
2019-08-21 04-AM,BTCUSDT,10323.18,10330.75,10177.96,10210.51,3508.38,35985194.95
2019-08-21 03-AM,BTCUSDT,10603.91,10639.99,10225.02,10323.18,6301.65,65355692.87
2019-08-21 02-AM,BTCUSDT,10686.09,10708.28,10560,10603.91,1991.56,21141081.35
2019-08-21 01-AM,BTCUSDT,10693.14,10710.76,10634.39,10686.09,896.15,9568152.07
2019-08-21 12-AM,BTCUSDT,10760.51,10804.13,10670.01,10693.14,1073.72,11524460.38
2019-08-20 11-PM,BTCUSDT,10829.65,10842.03,10725,10760.51,752.16,8102968.96
2019-08-20 10-PM,BTCUSDT,10793.94,10840,10749.93,10829.65,831.46,8977973.98
2019-08-20 09-PM,BTCUSDT,10717.45,10834.28,10693.13,10793.94,1340.92,14456688.29
2019-08-20 08-PM,BTCUSDT,10734.1,10755.02,10650,10717.45,1192.31,12741471.16
2019-08-20 07-PM,BTCUSDT,10753.84,10767,10723.85,10734.1,451.36,4849501.67
2019-08-20 06-PM,BTCUSDT,10762.44,10767.87,10711.2,10753.84,616.24,6616926.48
2019-08-20 05-PM,BTCUSDT,10745.95,10780.16,10732.55,10762.44,659.37,7091555.64
2019-08-20 04-PM,BTCUSDT,10744.54,10797.44,10684,10745.95,1557.36,16746063.8
2019-08-20 03-PM,BTCUSDT,10612.11,10752,10580,10744.54,2354.16,25118961.14
2019-08-20 02-PM,BTCUSDT,10654,10679.97,10580,10612.11,2004.44,21310884.42
2019-08-20 01-PM,BTCUSDT,10644.99,10697.98,10640.22,10654,714.02,7620900.6
2019-08-20 12-PM,BTCUSDT,10708.82,10713.96,10632.11,10644.99,706.72,7534472.87
2019-08-20 11-AM,BTCUSDT,10652.57,10710,10619.93,10708.82,1509.85,16081804.02
2019-08-20 10-AM,BTCUSDT,10705.63,10714.24,10640,10652.57,957.21,10220780.61
2019-08-20 09-AM,BTCUSDT,10687.36,10714.03,10560,10705.63,3521.25,37399795.15
2019-08-20 08-AM,BTCUSDT,10808.74,10811.56,10635.84,10687.36,2027.52,21739350.21
2019-08-20 07-AM,BTCUSDT,10791.88,10824.13,10779,10808.74,1079.87,11665787.32
2019-08-20 06-AM,BTCUSDT,10761.3,10800,10714,10791.88,1724.6,18566306.13
2019-08-20 05-AM,BTCUSDT,10811.4,10816,10751,10761.3,685.71,7395356.87
2019-08-20 04-AM,BTCUSDT,10788.84,10837.77,10768.87,10811.4,862.19,9315087.99
2019-08-20 03-AM,BTCUSDT,10875.46,10878.06,10766,10788.84,1457.24,15752771.68
2019-08-20 02-AM,BTCUSDT,10886,10889.92,10842,10875.46,784.51,8522033.45
2019-08-20 01-AM,BTCUSDT,10890.77,10923.79,10842.96,10886,909.69,9903803.17
2019-08-20 12-AM,BTCUSDT,10915.54,10949.96,10871,10890.77,1736.57,18948203.67
2019-08-19 11-PM,BTCUSDT,10770.09,10930,10770.09,10915.54,2253.96,24490996.67
2019-08-19 10-PM,BTCUSDT,10710.37,10817.77,10693.8,10770.09,927.23,9978736.4
2019-08-19 09-PM,BTCUSDT,10675.09,10732,10675.01,10710.37,564.31,6040750.47
2019-08-19 08-PM,BTCUSDT,10685.88,10704.44,10618.01,10675.09,988.45,10544977.46
2019-08-19 07-PM,BTCUSDT,10716.9,10825.1,10655,10685.88,2066.85,22175025.5
2019-08-19 06-PM,BTCUSDT,10707,10737.73,10688.24,10716.9,786.78,8430004.92
2019-08-19 05-PM,BTCUSDT,10664.72,10710,10660.61,10707,730.3,7808936.92
2019-08-19 04-PM,BTCUSDT,10707.8,10744,10580,10664.72,2165.56,23088795.15
2019-08-19 03-PM,BTCUSDT,10717.46,10723.36,10665,10707.8,1698.11,18160131.7
2019-08-19 02-PM,BTCUSDT,10709.98,10749,10681,10717.46,1093.1,11713996.41
2019-08-19 01-PM,BTCUSDT,10681.53,10716.64,10650.21,10709.98,831.66,8890502.09
2019-08-19 12-PM,BTCUSDT,10672.81,10694.53,10591.41,10681.53,1828.48,19485077.3
2019-08-19 11-AM,BTCUSDT,10680.03,10780,10645,10672.81,1872.15,20065965.87
