idx,Symbol,avg,Date,Open,High,Low,Close,date,time,hour,ampm,ts
0,,10066.385,,,,,,Wed Aug 21 2019 23:00:00 GMT+0100 (British Summer Time),11-PM,23,PM,
1,,10062.465,,,,,,Wed Aug 21 2019 22:00:00 GMT+0100 (British Summer Time),10-PM,22,PM,
2,,10101.84,,,,,,Wed Aug 21 2019 21:00:00 GMT+0100 (British Summer Time),09-PM,21,PM,
3,,10128.740000000002,,,,,,Wed Aug 21 2019 20:00:00 GMT+0100 (British Summer Time),08-PM,20,PM,
4,,10095.785,,,,,,Wed Aug 21 2019 19:00:00 GMT+0100 (British Summer Time),07-PM,19,PM,
5,,10098.315,,,,,,Wed Aug 21 2019 18:00:00 GMT+0100 (British Summer Time),06-PM,18,PM,
6,,10122.125,,,,,,Wed Aug 21 2019 17:00:00 GMT+0100 (British Summer Time),05-PM,17,PM,
7,,10059.84,,,,,,Wed Aug 21 2019 16:00:00 GMT+0100 (British Summer Time),04-PM,16,PM,
8,,10000.400000000001,,,,,,Wed Aug 21 2019 15:00:00 GMT+0100 (British Summer Time),03-PM,15,PM,
9,,9988.155,,,,,,Wed Aug 21 2019 14:00:00 GMT+0100 (British Summer Time),02-PM,14,PM,
10,,9971.83,,,,,,Wed Aug 21 2019 13:00:00 GMT+0100 (British Summer Time),01-PM,13,PM,
11,,10080.195,,,,,,Thu Aug 22 2019 00:00:00 GMT+0100 (British Summer Time),12-PM,24,PM,
12,,10168.475,,,,,,Wed Aug 21 2019 11:00:00 GMT+0100 (British Summer Time),11-AM,11,AM,
13,,10186.970000000001,,,,,,Wed Aug 21 2019 10:00:00 GMT+0100 (British Summer Time),10-AM,10,AM,
14,,10198.14,,,,,,Wed Aug 21 2019 09:00:00 GMT+0100 (British Summer Time),09-AM,9,AM,
15,,10159.635,,,,,,Wed Aug 21 2019 08:00:00 GMT+0100 (British Summer Time),08-AM,8,AM,
16,,10160.185,,,,,,Wed Aug 21 2019 07:00:00 GMT+0100 (British Summer Time),07-AM,7,AM,
17,,10216.09,,,,,,Wed Aug 21 2019 06:00:00 GMT+0100 (British Summer Time),06-AM,6,AM,
18,,10230.654999999999,,,,,,Wed Aug 21 2019 05:00:00 GMT+0100 (British Summer Time),05-AM,5,AM,
19,,10266.845000000001,,,,,,Wed Aug 21 2019 04:00:00 GMT+0100 (British Summer Time),04-AM,4,AM,
20,,10463.545,,,,,,Wed Aug 21 2019 03:00:00 GMT+0100 (British Summer Time),03-AM,3,AM,
21,,10645,,,,,,Wed Aug 21 2019 02:00:00 GMT+0100 (British Summer Time),02-AM,2,AM,
22,,10689.615,,,,,,Wed Aug 21 2019 01:00:00 GMT+0100 (British Summer Time),01-AM,1,AM,
23,,10726.825,,,,,,Wed Aug 21 2019 12:00:00 GMT+0100 (British Summer Time),12-AM,12,AM,
24,,10795.08,,,,,,Tue Aug 20 2019 23:00:00 GMT+0100 (British Summer Time),11-PM,23,PM,
25,,10811.795,,,,,,Tue Aug 20 2019 22:00:00 GMT+0100 (British Summer Time),10-PM,22,PM,
26,,10755.695,,,,,,Tue Aug 20 2019 21:00:00 GMT+0100 (British Summer Time),09-PM,21,PM,
27,,10725.775000000001,,,,,,Tue Aug 20 2019 20:00:00 GMT+0100 (British Summer Time),08-PM,20,PM,
28,,10743.970000000001,,,,,,Tue Aug 20 2019 19:00:00 GMT+0100 (British Summer Time),07-PM,19,PM,
29,,10758.14,,,,,,Tue Aug 20 2019 18:00:00 GMT+0100 (British Summer Time),06-PM,18,PM,
30,,10754.195,,,,,,Tue Aug 20 2019 17:00:00 GMT+0100 (British Summer Time),05-PM,17,PM,
31,,10745.245,,,,,,Tue Aug 20 2019 16:00:00 GMT+0100 (British Summer Time),04-PM,16,PM,
32,,10678.325,,,,,,Tue Aug 20 2019 15:00:00 GMT+0100 (British Summer Time),03-PM,15,PM,
33,,10633.055,,,,,,Tue Aug 20 2019 14:00:00 GMT+0100 (British Summer Time),02-PM,14,PM,
34,,10649.494999999999,,,,,,Tue Aug 20 2019 13:00:00 GMT+0100 (British Summer Time),01-PM,13,PM,
35,,10676.904999999999,,,,,,Wed Aug 21 2019 00:00:00 GMT+0100 (British Summer Time),12-PM,24,PM,
36,,10680.695,,,,,,Tue Aug 20 2019 11:00:00 GMT+0100 (British Summer Time),11-AM,11,AM,
37,,10679.099999999999,,,,,,Tue Aug 20 2019 10:00:00 GMT+0100 (British Summer Time),10-AM,10,AM,
38,,10696.494999999999,,,,,,Tue Aug 20 2019 09:00:00 GMT+0100 (British Summer Time),09-AM,9,AM,
39,,10748.05,,,,,,Tue Aug 20 2019 08:00:00 GMT+0100 (British Summer Time),08-AM,8,AM,
40,,10800.31,,,,,,Tue Aug 20 2019 07:00:00 GMT+0100 (British Summer Time),07-AM,7,AM,
41,,10776.59,,,,,,Tue Aug 20 2019 06:00:00 GMT+0100 (British Summer Time),06-AM,6,AM,
42,,10786.349999999999,,,,,,Tue Aug 20 2019 05:00:00 GMT+0100 (British Summer Time),05-AM,5,AM,
43,,10800.119999999999,,,,,,Tue Aug 20 2019 04:00:00 GMT+0100 (British Summer Time),04-AM,4,AM,
44,,10832.15,,,,,,Tue Aug 20 2019 03:00:00 GMT+0100 (British Summer Time),03-AM,3,AM,
45,,10880.73,,,,,,Tue Aug 20 2019 02:00:00 GMT+0100 (British Summer Time),02-AM,2,AM,
46,,10888.385,,,,,,Tue Aug 20 2019 01:00:00 GMT+0100 (British Summer Time),01-AM,1,AM,
47,,10903.155,,,,,,Tue Aug 20 2019 12:00:00 GMT+0100 (British Summer Time),12-AM,12,AM,
48,,10842.815,,,,,,Mon Aug 19 2019 23:00:00 GMT+0100 (British Summer Time),11-PM,23,PM,
49,,10740.23,,,,,,Mon Aug 19 2019 22:00:00 GMT+0100 (British Summer Time),10-PM,22,PM,
50,,10692.73,,,,,,Mon Aug 19 2019 21:00:00 GMT+0100 (British Summer Time),09-PM,21,PM,
51,,10680.485,,,,,,Mon Aug 19 2019 20:00:00 GMT+0100 (British Summer Time),08-PM,20,PM,
52,,10701.39,,,,,,Mon Aug 19 2019 19:00:00 GMT+0100 (British Summer Time),07-PM,19,PM,
53,,10711.95,,,,,,Mon Aug 19 2019 18:00:00 GMT+0100 (British Summer Time),06-PM,18,PM,
54,,10685.86,,,,,,Mon Aug 19 2019 17:00:00 GMT+0100 (British Summer Time),05-PM,17,PM,
