last1,last2,diff1,miniChart,dir,swing,action
10004.909508490695,,NaN,,,-,HOLD
10003.127729765094,10004.909508490695,-1.781778725600816,D,D,-,HOLD
10012.234037722246,10003.127729765094,9.10630795715224,DU,U,-,HOLD
10012.494217107247,10012.234037722246,0.2601793850008107,DUU,U,-,HOLD
10006.868800693257,10012.494217107247,-5.625416413990024,DUUD,D,-,HOLD
10011.107029490415,10006.868800693257,4.238228797157717,UUDU,U,-,HOLD
10010.449913196835,10011.107029490415,-0.6571162935797474,UDUD,D,-,HOLD
10008.473665551544,10010.449913196835,-1.9762476452906412,DUDD,D,-,HOLD
10008.134063180933,10008.473665551544,-0.3396023706118285,UDDD,D,R-D,SELL
10009.817986141401,10008.134063180933,1.6839229604684078,DDDU,U,-,HOLD
10012.685998753077,10009.817986141401,2.868012611676022,DDUU,U,S-U,BUY
10018.518801393928,10012.685998753077,5.832802640850787,DUUU,U,-,HOLD
10010.561033003918,10018.518801393928,-7.957768390009733,UUUD,D,-,HOLD
10002.398566640504,10010.561033003918,-8.162466363413841,UUDD,D,S-D,SELL
10002.070282144969,10002.398566640504,-0.3282844955356268,UDDD,D,R-D,SELL
10005.188412463654,10002.070282144969,3.1181303186858713,DDDU,U,-,HOLD
10014.095391413473,10005.188412463654,8.90697894981895,DDUU,U,S-U,BUY
10014.091898086655,10014.095391413473,-0.003493326817988418,DUUD,D,-,HOLD
10011.650432716644,10014.091898086655,-2.4414653700114286,UUDD,D,S-D,SELL
10012.667625555978,10011.650432716644,1.0171928393338021,UDDU,U,-,HOLD
10008.764097797399,10012.667625555978,-3.9035277585790027,DDUD,D,-,HOLD
10012.615987016992,10008.764097797399,3.8518892195934313,DUDU,U,-,HOLD
10015.208422466781,10012.615987016992,2.5924354497892637,UDUU,U,-,HOLD
10018.014066094605,10015.208422466781,2.8056436278238834,DUUU,U,-,HOLD
10026.505313880272,10018.014066094605,8.491247785666928,UUUU,U,R-U,BUY
10035.324020692893,10026.505313880272,8.818706812620803,UUUU,U,R-U,BUY
10027.071135471619,10035.324020692893,-8.252885221274482,UUUD,D,-,HOLD
10024.995703490007,10027.071135471619,-2.075431981611473,UUDD,D,S-D,SELL
10026.510337940572,10024.995703490007,1.5146344505646994,UDDU,U,-,HOLD
10036.474190851584,10026.510337940572,9.96385291101251,DDUU,U,S-U,BUY
10042.274160720139,10036.474190851584,5.799969868554399,DUUU,U,-,HOLD
10033.5838137573,10042.274160720139,-8.690346962839612,UUUD,D,-,HOLD
10027.239402906587,10033.5838137573,-6.344410850711938,UUDD,D,S-D,SELL
10031.297433894491,10027.239402906587,4.058030987904203,UDDU,U,-,HOLD
10040.557351506064,10031.297433894491,9.259917611572746,DDUU,U,S-U,BUY
10034.962692778558,10040.557351506064,-5.594658727506612,DUUD,D,-,HOLD
10031.269166877779,10034.962692778558,-3.6935259007786954,UUDD,D,S-D,SELL
10024.19511577975,10031.269166877779,-7.074051098028576,UDDD,D,R-D,SELL
10028.483610147387,10024.19511577975,4.288494367636304,DDDU,U,-,HOLD
10034.836340544072,10028.483610147387,6.352730396685729,DDUU,U,S-U,BUY
10040.728437785896,10034.836340544072,5.892097241823649,DUUU,U,-,HOLD
10039.710572780583,10040.728437785896,-1.0178650053130696,UUUD,D,-,HOLD
10030.737975331142,10039.710572780583,-8.97259744944131,UUDD,D,S-D,SELL
10025.291928389968,10030.737975331142,-5.446046941173336,UDDD,D,R-D,SELL
10032.481273217112,10025.291928389968,7.189344827143941,DDDU,U,-,HOLD
10022.655821543589,10032.481273217112,-9.825451673523276,DDUD,D,-,HOLD
10027.49340458246,10022.655821543589,4.837583038870434,DUDU,U,-,HOLD
10022.489924824991,10027.49340458246,-5.003479757468085,UDUD,D,-,HOLD
10025.632514971445,10022.489924824991,3.1425901464535855,DUDU,U,-,HOLD
10028.264412274048,10025.632514971445,2.631897302602738,UDUU,U,-,HOLD
10029.372135275942,10028.264412274048,1.1077230018945556,DUUU,U,-,HOLD
10028.210248893376,10029.372135275942,-1.161886382566081,UUUD,D,-,HOLD
10027.473822288735,10028.210248893376,-0.7364266046406556,UUDD,D,S-D,SELL
10024.151956632597,10027.473822288735,-3.3218656561384705,UDDD,D,R-D,SELL
10023.179455860418,10024.151956632597,-0.9725007721790462,DDDD,D,R-D,SELL
10022.43582024578,10023.179455860418,-0.7436356146372418,DDDD,D,R-D,SELL
10026.64399218209,10022.43582024578,4.208171936308645,DDDU,U,-,HOLD
10033.901367600465,10026.64399218209,7.2573754183758865,DDUU,U,S-U,BUY
10034.331638914187,10033.901367600465,0.4302713137221872,DUUU,U,-,HOLD
